NAMA RUMAH,HARGA,LB,LT,KT,KM,GRS
"Rumah Hitung Tanah di Tebet Timur, Jalan Lebar 3 Mobil, Bentuk Tanah Persegi",7100000000,200,256,6,3,3
Rumah second masih bagus wilayah Tebet,6000000000,325,222,6,4,1
TERJUAL TEBET TIMUR JALAN 2 MOBIL Dekat Taman,4300000000,200,145,3,3,2
Dijual Rumah Cantik Tebet Barat Lokasi Dekat Taman Nyaman Jalan 1 Mobil,3500000000,250,90,3,4,2
Very Cheap House Tebet,6500000000,219,338,5,3,1
"Tebet rumah full furnished, jakarta selatan",7000000000,210,166,6,6,3
"The Classic Luxury House With Pool @Brand New near Cassablanca Area, Palbatu, Jakarta Selatan",6100000000,375,130,6,5,3
"The Classic Luxury House With Pool @Brand New near Cassablanca Area, Palbatu, Jakarta Selatan",4000000000,200,160,5,4,2
Rumah siap huni di tebet dalam,8000000000,470,350,7,6,2
Rumah Tua Kebon Baru Tebet Jakarta Selatan,10000000000,674,775,4,3,0
Rumah Tebet Ada Kamar Tidur,3700000000,400,370,6,2,0
Rumah Area Tebet Ada Kamar Tidur,3000000000,192,120,4,3,2
Dijual Rumah Gudang Peluru Tebet Lokasi Premium Nyaman Jalan Lebar,8250000000,460,290,6,5,2
"Rumah di Tebet Timur Dalam 7 i, Luas Tanah 179 m2, Lebar Muka 12 meter",3300000000,160,179,4,2,2
Dijual Rumah Di Tebet,11000000000,500,400,6,3,4
"Dijual Rumah Baru Siap Huni Daerah Tebet , Jakarta Selatan",7000000000,220,166,4,4,2
Tebet Timur Rumah Homies Termurah Cepat,2990000000,162,156,6,4,2
"DIJUAL Rumah 2 Lantai, Lokasi Sangat Strategis, Dekat Tol Cawang dan Stasiun Cawang",3600000000,125,135,5,3,2
Dijual Murah Rumah Di Jln Keselamatan Tebet Jakarta Selatan,2650000000,190,202,4,2,4
Rumah Hoky Lokasi Strategis Di Belakang Hotel Haris Tebet,2650000000,180,202,4,2,4
Rumah 2 Lantai Siap Huni di Bilangan Tebet,2700000000,200,122,5,3,1
"Rumah Di Tebet Raya, Area Komersial, Keluar Ijin Domisili, Strategis",22000000000,500,520,5,4,4
Rumah Tebet Dengan Lokasi Strategis Jalan Lebar,2800000000,150,98,4,3,1
Djual rumah di tebet jakarta selatan luas,9200000000,450,700,8,5,2
Rumah jual Tebet Barat,6000000000,150,250,4,4,2
"Rumah Dijual Murah Lokasi Strategis Di Kebon Baru, Tebet - Jakarta Selatan",1000000000,140,128,5,3,1
Brand New House At Tebet Barat,14800000000,500,310,3,3,4
"Dijual Rumah Di tebet , Jakarta Selatan Cocok Untuk Ruang Usaha",7500000000,200,280,5,5,2
"Tebet rumah classic cocok buat comersial, jakarta selatan",20000000000,700,547,6,5,6
TEBET Rumah Nyaman Siap Huni dekat Kawasan Kuliner Tebet,1999000000,125,133,4,2,1
"Rumah di Tebet Timur, SHM, Dekat ke Bandara Halim, Mall Kota Kasablanka dan Dekat Pintu Tol Pancoran",1950000000,125,130,4,2,1
Townhouse Bidakara Mewah Nyaman Di Jakarta Selatan 4 Br,11500000000,600,208,4,5,4
"Rumah hook dijual, sangat strategis di Tebet",2400000000,147,154,3,2,1
Rumah Cantik Full Renov Tebet Timur,3100000000,140,90,3,2,2
Rumah Siap Huni Di Tebet - Jakarta Selatan,4600000000,250,184,4,3,2
Dijual Rumah Lama Tebet Barat Lokasi Strategis Jalan 1 Mobil,3000000000,140,135,3,2,1
Dijual Rumah Baru 2 lantai Di Tebet,3200000000,120,86,5,4,2
Rumah Asri di jalan utama tebet,15000000000,500,400,9,6,4
"Rumah tebet timur dalam, depan taman",4500000000,140,140,3,2,1
Dijual rumah hook asri Bangunan di gudang peluru,6800000000,480,290,6,3,4
Rumah Tebet Timur Dalam Dekat Pspt dan stasiun tebet,6500000000,219,338,5,3,3
Rumah lama hitung tanah kb. Baru Tebet,3550000000,250,352,5,1,3
Rumah Mewah Fullfurnish Tebet Jakarta Selatan,23000000000,1000,498,8,9,5
Siap Huni Depan Taman Tebet Dalam,4200000000,220,115,4,3,0
Rumah Dijual Di Tebet,9000000000,250,162,4,3,2
Rumah Tinggal Area Tebet,12000000000,385,404,4,3,0
Rumah Mewah Di Prime Area Tebet,12000000000,350,198,7,5,4
Rumah Tua Hitung Tanah Di Prime Area. TERMURAH Di TEBET !,22000000000,600,852,5,5,4
Rumah Bagus Siap Huni Dekat Casablanca. TERMURAH Di TEBET !,3500000000,300,190,6,6,3
Rumah Siap Huni Dan Tanah Kosong  Tebet Barat,15000000000,200,385,5,5,0
Rumah Lama Di Tebet. MURAH. Best Investment !,3850000000,160,224,4,3,1
Komplek Bukit Duri Permai,9800000000,759,319,4,4,4
Rumah Bagus Siap Huni JUAL CEPAT ! Tebet Utara,8900000000,300,300,5,4,2
Rumah Cantik Siap Huni Dalam Komplek. JUAL CEPAT ! Tebet Barat ,4700000000,280,102,4,3,3
Rumah Baru Siap Huni. MURAH ! Tebet Barat,3050000000,173,89,3,4,2
Rumah Bagus Siap Huni FULL FURNISHED Di Dalam Komplek Tebet Barat,5750000000,250,121,4,4,2
Rumah Baru Dalam Komplek Tebet,4500000000,250,110,4,3,1
RUMAH MEWAH TEBET,28000000000,750,498,5,5,3
Rumah Tebet 2 lantai,6500000000,117,205,5,4,0
Rumah tebet ada ruang usaha jakarta selatan,13000000000,500,400,6,3,2
Rumah Mewah Cantik Minimalis Modern Harga Dibawah Pasaran di Jalan Raya Tebet Timur Dalam Raya Tebet,25000000000,350,565,5,5,1
good unit house tebet jakarta,7300000000,500,325,5,5,1
"Rumah Tebet Timur, Jalan 1 Mobil",2900000000,125,135,5,2,1
"Rumah Tebet Timur, Jalan 2 Mobil Dekat Taman Tebet",8000000000,278,278,7,3,2
Rumah Cantik Jalan 2 Mobil Tebet,6250000000,240,180,7,5,0
Dekat Stasiun Tebet Dan Mega Kuningan,8750000000,300,322,4,4,2
"4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",5500000000,360,140,4,4,2
"Rumah Di Jual Tebet Barat, Luas Tanah 550 Meter",16500000000,700,550,6,6,1
good unit house tebet jakarta,1100000000,63,300,3,1,1
Rumah Bagus Siap Huni Ada S. Pool Di Tebet,15000000000,700,700,5,3,4
Rumah Baru Spec Premium Semifurnished,6900000000,250,125,3,2,2
Dijual Cepat rumah 3 lantai di Tebet,7500000000,500,280,5,4,1
Rumah minimalis tebet jalan 3 mobil,5800000000,220,141,4,4,3
Rumaha mewah siap huni tebet,14500000000,400,307,3,3,4
Rumah Minimalis Siap Huni Tebet,4500000000,200,146,4,4,2
"5 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",17000000000,600,550,5,6,6
Dijual Rumah Tebet Dekat Dengan Jalan 2 Mobil Beda 1 Rumah..!!,2950000000,150,134,3,2,1
Rumah Hitung Tanah Tebet Jalan 1 Mobil,3000000000,150,150,3,2,1
Dijual Cepat Rumah Strategis Tebet Timur,2000000000,80,90,2,1,1
Rumah Mewah Cantik Minimalis Modern di Jalan Raya Tebet Timur Dalam Raya Tebet Jakarta Selatan,25000000000,350,565,5,5,4
Jual Cepat Rumah Mewah di Tebet Jakarta Seatan,8500000000,300,325,5,3,2
Rumah Cantik Di Tebet Jakarta Selatan,7000000000,280,220,4,3,4
Dijual Cepat Rumah lama layak huni di Tebet,9800000000,400,350,4,5,1
Rumah Siap Huni Di Tebet Lokasi Sangat Strategis Sekali,3000000000,150,90,3,2,1
Rumah Mewah Kampung Melayu Jual Murah Bawah Pasaran,5500000000,200,250,4,3,3
Rumah Lama Terawat Di Tebet Timur,4850000000,300,265,4,3,0
Rumah Baru Renovasi Di Tebet Utara,3200000000,150,135,5,2,1
Rumah Mewah Di Tebet,25000000000,1080,619,5,6,2
Rumah Baru Dekat Kawasan Tebet jakarta selatan,6700000000,390,130,7,6,3
Dijual Rumah Komplek Depkeu Menteng Tebet Jakarta Selatan,17000000000,360,606,8,3,1
"Dijual Rumah Brand New Cantik Asri Siap Huni Harga Murah Dengan Tanah Luas Di Tebet Timur, Tebet Jaka",31000000000,1000,670,6,5,2
Rumah hitung tanah di kebon baru Tebet Jakarta Selatan,9200000000,650,695,6,8,1
Rumah Minimalis Bagus Prime Area Tebet Barat,6900000000,250,160,3,4,1
Rumah Kos Tebet,3800000000,250,145,8,8,0
Tebet Rumah Hitung Tanah Siap Bangun Linkungan Aman dan Nyaman,3600000000,120,139,5,3,1
Tebet Rumah Hitung Tanah Dekat Taman,1700000000,80,90,2,2,1
Rumah dijual di tebet,2900000000,133,126,3,2,1
Rumah Siap Huni Ditebet Jual Cepat,1900000000,120,90,3,2,1
Rumah Tebet Soepomo Komplek Keuangan,17000000000,390,608,9,3,5
Rumah Murah Tanah Luas Siap Huni Di Asem Baris Tebet Jakarta Selatan,7000000000,500,428,6,6,4
"Rumah Dan Kos-Kosan Di Tebet Barat, Jalan 1 Mobil, Lokasi Strategis",3300000000,200,145,8,8,2
Rumah Baru Minimalis 2 Lantai Siap Huni di Tebet Jakarta,7150000000,250,162,4,3,2
"Murah Dibawah Pasaran, Tebet Timur",8500000000,283,306,5,4,1
Rumah Murah 2 Lantai Tebet,600000000,60,30,2,1,0
"Dijual Rumah Brand New Siap Huni Harga Murah Dengan Tanah Luas Di Tebet Barat, Tebet Jakarta Selatan",17000000000,450,310,4,4,4
Rumah Minimalis Murah Dekat Stasiun Tebet Jakarta Selatan,2750000000,121,100,4,3,1
Dijual Rumah Tebet Barat Lokasi Premium Nyaman Jalan 1 Mobil,3000000000,224,124,3,3,1
Rumah Cantik Minimalis Di Tebet,6500000000,300,200,5,4,4
Rumah tebet timur dalam jalan 1 mobil dekat 2 mobil,5900000000,272,311,4,4,5
Rumah 2 Lantai di Kebon Baru Tebet Jakarta Selatan,2400000000,147,154,3,2,0
"Rumah Baru Bagus, Asem Baris, Tebet Area",4800000000,325,226,4,4,3
"DIJUAL CEPAT Rumah 2 LANTAI SIAP PAKAI MURAH SEKALI @Tebet, Jakarta Selatan",6500000000,250,180,8,5,2
Rumah Ditebet Utara Tebet Jakarta Selatan,6500000000,250,181,8,6,1
"Dijual Rumah Di Tebet, Jakarta Selatan, Siap Huni",3195000000,150,135,3,3,1
Rumah Bagus Di Asem Baris - Tebet,5000000000,320,150,7,6,2
Rumah Bagus Di Asem Baris - Tebet,10000000000,380,230,6,4,0
"DIJUAL RUMAH di Jl. Asem Baris Tebet, Jaksel",2200000000,226,95,5,3,2
Rumah mewah clasic di tebet jakarta selatan,29000000000,1000,670,5,5,5
"Rumah Mewah design Klasik, ada Swimming Pool di Tebet Barat",14800000000,500,310,4,4,4
Di Jual Show Unit Tebet Jakarta Selatan,2700000000,72,72,4,4,0
Dijual cepat murah BU rumah lama strategis di tebet jakarta selatan,3000000000,100,139,3,2,1
"DIJUAL CEPAT Rumah 2 Lantai SIAP HUNI & MURAH JARANG ADA di Tebet, Jakarta Selatan",6500000000,250,180,8,5,2
Tebet - Dijual Rumah Dalam Kompleks Gudang Peluru,7500000000,180,200,5,4,1
"Rumah Siap Huni,Bebas Banjir,Tenang,Nyaman Di Gudang Peluru, Tebet",5000000000,250,217,3,3,1
Jual cepat Rumah Besar di Tebet Timur,3250000000,300,153,8,7,2
Rumah Kost Bisa Untuk Huni Di Tebet Barat Dalam Dekat Mt. Haryono,3300000000,200,130,9,3,1
TEBET Rumah Lingkungan Nyaman dan Aman Dekat Taman,4500000000,200,180,4,3,1
TEBET Rumah Brand New Depan Taman Jalan Dua Mobil Lebar,7200000000,250,161,3,3,2
Menteng Dalam - Tebet Akses Jalan 2 Mobil Dekat Asisi,2800000000,150,102,3,3,1
Tebet Rumah Brand New Akses Jalan 2 Mobil,4500000000,250,96,5,4,2
"Dijual Cepet Rumah Siap Huni Tebet, Lokasi Nyaman, Strategis",2700000000,100,130,5,2,2
Dijual Rumah Minimalis Tebet Timur Lokasi Premium Bisa Untuk Kantor Jalan Raya,9500000000,250,189,4,3,2
Rumah Siap huni 3 lantai dalam komplek Tebet,5500000000,147,107,6,4,1
Dijual Rumah Tebet Area Komersil Lokasi Strategis Jalan Raya,23000000000,750,610,8,6,6
Kebon Baru Rumah Nyaman Siap Huni,1500000000,120,90,3,2,1
"Rumah Secondary tanah luas strategis asem baris Tebet, Jakarta selatan",7000000000,500,428,8,6,4
"Tebet rumah murah prime location, jakarta selatan",3500000000,210,170,5,3,2
Rumah brand new area Tebet Barat,4950000000,225,110,5,4,2
Dijual Rumah Mewah Desain Modern Daerah Tebet,30000000000,800,498,5,5,9
Dijual rumah baru di tebet jakarta selatan,1980000000,164,72,4,2,2
BrandNew Siap Huni Parkir 3 Mobil Tebet Utara,6500000000,250,125,3,3,3
"Rumah Tebet Dalam, Dekat Taman & Dekat Jln 2 Mobil",3500000000,178,150,3,2,2
Rumah Lama Terawat BU Tebet,1800000000,105,90,3,2,1
Rumah Lama Terawat lokasi bagus dekat MT.Haryono,13000000000,350,248,4,4,1
Tebet Rumah Lama Terawat,3100000000,225,156,4,3,2
Brand New Rumah Strategi Soho Tebet,4750000000,180,137,4,4,2
"4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",2599000000,160,90,4,2,1
Dijual Rumah Komplek Gudang Peluru Hitung Tanah Lokasi Premium Tenang Jalan 2 Mobil,6250000000,200,320,4,3,2
"Rumah Siap Huni Di Tebet, Jalan 1 Mobil Strategis",3000000000,150,135,3,1,1
KOMPLEK ELITE GUDANG PELURU - Rumah Besar Siap Huni,6550000000,350,270,5,4,2
Rumah Asem Baris,5000000000,320,150,7,6,1
Rumah Baru Lux Di Tebet Barat,16000000000,525,330,4,4,3
Turun harga rumah di Tebet Jaksel,23000000000,750,610,8,6,4
Dijual Rumah Tebet Timur Layak Huni Lokasi Premium Nyaman Jalan Lebar,7100000256,200,265,6,3,3
Dijual Murah Rumah Hitung Tanah Tebet Timur Lokasi Strategis Jalan 1 Mobil,2300000000,144,135,4,2,2
Dijual Rumah 2 Lantai Lokasi Strategis Siap Huni di Asembaris Tebet,7500000000,500,428,6,4,4
Rumah tebet jakarta selatan,5500000000,410,205,4,4,2
Rumah Bagus Minimalis Luas Dan Murah Di Asem Baris Tebet Jaksel,2300000000,150,132,4,3,1
Dekat Stasiun Tebet Dan Jalan Mt Hariyono Dan RS.Umum,15000000000,237,387,5,4,2
Dijual Rumah Tebet Brand New Lokasi Strategis Jalan 1 Mobil,3500000000,140,90,3,3,2
Rumah tebet timur dalam jalan 2 mobil,5900000000,140,107,3,3,3
Rumah Tebet Dalam Jalan 1 mobil dekat 2 mobil,3000000000,62,90,5,3,0
Dijual Rumah Dengan Carport Luas di Tebet Barat,30000000000,500,703,8,4,8
"Rumah Tebet Barat Dalam, Strategis",2900000000,120,137,5,2,1
Tebet Akses Jalan 2 Mobil Dekat Taman Cocok Untuk Hunian,6000000000,350,220,5,5,2
RUMAH MEWAH CANTIK SIAP HUNI DI MENTENG DALAM TEBET JAKARTA SELATAN,18000000000,200,251,5,3,3
Rumah siap huni 3 lantai di Tebet Jakarta Selatan,5500000000,147,107,6,4,2
DIJUAL RUMAH di TEBET TIMUR Jakarta Selatan,3700000000,350,180,4,3,1
Rumah Siap Huni Jalan Lebaaarrr Tebet Barat,6250000000,150,150,3,3,2
"Rumah Murah Di Tebet Timur Dalam, Tebet Jakarta Selatan",3700000000,150,139,5,3,1
Rumah Mewah di Tebet Jakarta Selatan,7300000000,300,325,5,4,6
"Rumah Cantik 2 Lantai, akses jalan 2 Mobil, di Tebet Timur",6950000000,150,190,4,4,2
Dijual Rumah Hook Baru Tebet Timur Jakarta Selatan Lokasi Aman Tidak Banjir Dekat Pasar PSPT,3400000000,190,110,5,6,2
Dijual Rumah Baru Siap Huni di Tebet Barat,3300000000,120,90,3,3,2
House In Dukuh Patra,42000000000,600,624,3,3,2
Dijual rumah di tebet siap huni,2700000000,170,88,5,4,0
"Dijual Rumah Lux Brandnew, Lokasi Strategis Dekat Ke Kokas",6700000000,390,130,4,5,2
Dijual Rumah Di Tebet,12000000000,400,312,4,4,2
Di Jual Rumah Murah Di Tebet,1500000000,200,170,7,2,0
Rumah lama siap bangun di jalan 1 mobil Tebet Timur,2350000000,130,130,4,3,1
"Tebet Rumah Lama Jalan 2 Mobil, Acces Mudah Ke Stasiun Kereta Dan Kulineran",3400000000,100,139,6,4,2
Rumah Minimalis Modern 2 Lantai Nan Mewah Dekat Mall Basurra City,3000000000,200,150,5,4,2
Dijual Rumah Di Tebet,5000000000,328,150,7,6,2
Dijual rumah siap huni di Tebet,4000000000,250,154,6,3,2
Dijual rumah siap huni di Tebet,2300000000,107,54,3,2,1
DIJUAL RUMAH DI TEBET,4500000000,230,180,4,4,1
Dijual rumah di Tebet,4400000000,200,195,7,2,2
Dijual rumah di Tebet Timur,4500000000,150,179,3,2,1
Dijual Rumah Hitung Tanah Tebet Lokasi Strategis Nyaman Jalan 1 Mobil Lebar,2800000000,100,130,3,2,2
Dijual Rumah Komplek Gudang Peluru Tebet Lokasi Premium Nyaman Jalan 1 Mobil,3800000000,178,239,4,3,4
Dijual rumah di TEBET - BANGUNAN TERAWAT DAN KOKOH DI JALAN 3 MOBIL,15000000000,450,475,5,5,5
Rumah Tanjung Duren,3500000000,135,101,4,2,2
RUmah Bagus Pinggir Jalan Lokasi Strategis Di Tebet Jakarta Selatan,5500000000,170,270,6,3,1
Dijual cepat murah BU rumah lama strategis di tebet jakarta selatan,2900000000,100,139,3,2,2
Rumah Daerah Gudang Peluru Murah,10000000000,600,400,4,3,0
Dijual cepat murah rumah lama strategis di tebet kuningan jakarta selatan,4340000000,100,124,3,2,2
Rumah Besar di jual di Jalan Gatot Subroto Jakarta Selatan,25000000000,353,535,10,10,6
Dijual Rumah Siap Huni 3 lantai di Tebet Jakarta Selatan,2900000000,150,60,4,4,1
Dijual Rumah Minimalis di tebet timur area strategis,3200000000,150,92,4,4,2
Rumah Strategis Tebet Timur Akses 1 Mobil & Stasiun Cawang,6500000000,272,311,5,5,0
Rumah Murah Dan Strategis Dekat Mall Casablanca Di Tebet Dalam Jaksel,3500000000,210,172,5,2,2
Rumah Mewah Modern di Tebet Barat Nego,25000000000,550,485,4,4,3
Rumah daerah Tebet,7500000000,250,315,3,3,2
Tebet Rumah Dekat Lapangan Bola Siap Huni,2950000000,135,133,4,3,1
"Rumah untuk Investasi di Kawasan Tebet, Jakarta Selatan",5500000000,225,326,7,2,0
"5 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",9000000000,350,305,5,5,3
"4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",2500000000,120,135,4,2,1
Brand New Minimalis Tebet Dengan Lokasi Strategis Dijual Cepat,3100000000,172,90,4,3,2
Dijual cepat dan murah rumah lama strategis di Tebet Jakarta Selatan,3500000000,200,231,4,3,2
"Dijual rumah di Tebet, Jakarta Selatan, bebas banjir, nyaman, dan aman",12000000000,480,312,4,2,1
Dijual Rumah Tebet Timur Lokasi Premium Cocok Untuk Usaha Jalan Lebar,7000000000,330,187,7,4,2
"Dijual Rumah, Siap Huni,Strategis, Di Tebet Jakarta Selatan",6500000000,148,150,4,3,3
Rumah di tebet timur dalam,4500000000,200,148,4,3,1
Rumah Tua Di Tebet Jalan Depan Dua Mobil,7000000000,180,253,3,2,2
Tebet Rumah Tinggal,2300000000,140,77,4,3,1
Dijual rumah di Tebet,8750000000,250,200,5,4,2
Jual Rumah Mewah Siap Huni Strategis di Tebet Jakarta Selatan,8800000000,400,230,5,5,3
Dijual Rumah di Tebet Jakarta Selatan,3800000000,250,186,4,3,0
Townhouse Bidakara,13000000000,600,208,4,5,4
Dijual Rumah tua di tebet barat,1800000000,90,84,3,2,0
TEBET TIMUR (HOOK) - RUMAH BARU SIAP HUNI,13500000000,350,278,6,4,0
Tebet Dijual Rumah cantik 2 lantai semi furnished dan lay out nya bagus,7100000000,280,241,5,4,3
Tebet Dijual Rumah Siap Huni dan tanah kosong,8500000000,200,385,5,5,0
"Rumah di depan taman di tebet utara, belakang pertokoan Elektronic city",3000000000,139,150,3,3,1
Dijual rumah Tebet 2 lantai. akses strategis,3600000000,150,135,5,3,3
Rumah Mewah Tebet Utara Jakarta Selatan,22000000000,700,619,5,4,10
Rumah Tebet Jakarta Selatan,750000000,100,78,3,1,0
"rumah area komersial, tebet raya, jakarta selatan",22000000000,350,448,6,7,4
"Rumah Tebet Barat Jakarta, Siap Huni",3500000000,160,118,4,4,2
Rumah Bagus siap huni akses 2 mobil daerah Tebet Jakarta Selatan,8500000000,245,240,3,5,2
Dijual Rumah Mewah Lokasi Bagus di Tebet Jalan Lebar,25000000000,550,485,5,5,2
"3 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",1600000000,150,90,3,2,1
"Rumah 2 lantai di Jalan Sawo Kecik Raya, Bukit Duri, Tebet, Jakarta Selatan",5500000000,424,311,5,4,4
Rumah Bagus Cakep Dikawasan Elit Tebet Jaksel,8000000000,260,306,5,4,2
Dijual Rumah Tinggal Siap Huni Di Tebet lokasi strategis dan premium di Jakarta Selatan,12500000000,480,312,4,2,1
"Rumah Terawat Siap Huni Di Tebet, Jaksel",7500000000,350,220,4,5,1
"4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",3000000000,300,110,4,3,1
Tebet Rumah Lama Dijalan Lebar Dengan Lokasi Strategis Jual Cepat,15000000000,300,260,4,3,4
RUMAH TOWN HOUSE CANTIK TEBET,3900000000,220,135,4,4,1
Dijual Rumah Hitung Tanah Tebet Lokasi Strategis Nyaman Jalan 2 Mobil,6000000000,210,203,5,3,1
Dijual rumah di Tebet,18000000000,200,450,5,3,2
Rumah Di Tebet,3000000000,150,90,4,5,1
Brand New Minimalis Tebet Jalan Lebar Depan Taman Dijual Cepat,5000000000,180,107,6,5,2
DIJUAL Cepat Rumah Cantik minimalis 2 lantai di Tebet,850000000,56,56,4,2,0
Dijual Rumah Cantik Kebon Baru Lokasi Strategis Nyaman Jalan 2 Mobil,2500000000,140,135,4,3,1
"Rumah Tinggal Di Area Komersil Jl Tebet Raya, Strategis Dan Murah",21000000000,350,520,5,4,2
Town House Menteng Dalam,2900000000,150,120,2,2,0
NEW TOWNHOUSE WITH PRIVATE POOL AT BIDAKARA TEBET JAKARTA SELATAN,12500000000,600,208,4,5,4
Rumah Siap Huni Tebet Jalan 2 Mobil Dijual Cepat,3000000000,160,140,4,3,1
Rumah Tebet Barat,30000000000,500,703,7,4,8
Rumah bagus siap huni dengan lokasi strategis dekat dengan supomo dan casablanca di jalan 1 mobil,4750000000,200,150,5,5,2
Rumah Termurah Akses Jalan 2 Mobil Luas Tanah 268 M Di Tebet Barat,6900000000,400,268,5,4,3
For Sale Single House at Tebet & Condition Semi Furnished HSE-A0330,10000000000,300,368,4,4,3
Rumah Bagus Dan Elite Di Kawasan Tebet Yang Pretigous,6700000000,250,125,3,3,3
Tebet Dijual Rumah Tinggal asri . nyaman. Tenang,9000000000,350,300,4,4,0
"4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",2800000000,200,110,4,3,2
"5 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",3000000000,180,135,5,4,3
Rumah Minimalis bagus Tebet Utara,4100000000,220,110,4,3,2
Dijual Rumah di Tebet Hunian Mewah dan Nyaman,30000000000,498,750,6,6,0
Rumah Siap Huni Di Tebet Dalam Jakarta Selatan,3500000000,162,149,4,2,2
"Dijual Rumah Mewah Full Furnish Di Tebet, Jakarta Selatan",35000000000,800,700,6,7,10
RumahKomersil di Tebet Timur Raya,22000000000,776,776,4,3,4
Rumah modern semi klasik di Tebet,30000000000,800,498,6,6,9
"Rumah Dekat Jalan Utama Bukitduri, Hanya 2 Rumah Dari Jalan Besar",2000000000,128,148,4,3,2
JUAL CEPAT RUMAH MEWAH CLASSIC MODERN BEBAS BANJIR LOKASI PREMIUM TEBET,25000000000,550,485,5,4,4
"Dijual murah, hitung tanah, tebet timur dalam",9500000000,380,386,7,4,4
Dijual sangat murah rumah baru daerah tebet,4600000000,250,151,5,3,4
Dijual cepat rumah Tebet timur jakarta selatan,6000000000,168,221,5,3,2
"Brand New Minimalis 3 Lantai Tebet Dijual Cepat, Lokasi Strategis",2350000000,160,80,4,3,1
Dijual Rumah Tebet Barat Lokasi Strategis Nyaman Jalan 1 Mobil,2600000000,140,84,3,2,1
Rumah Siap Huni Di Lokasi Premium Tebet Barat Dalam,9000000000,300,287,4,3,1
Rumah Cantik Minimalis Tebet,2600000000,150,90,3,2,1
"rumah tebet dalam, hoek, SHM",12000000000,470,270,5,4,1
Rumah Baru Minimalis Tebet ,2700000000,90,78,3,2,0
Cluster Baru Minimalis Modern Jaya Mandala Tebet Jakarta Selatan,14500000000,600,208,4,4,2
"Rumah di Kasablangka, Tebet, Menteng, Jakarta Selatan",3750000000,127,180,4,4,2
Rumah Mewah Murah Dalam Komplek Di Tebet,6000000000,325,225,7,5,2
Rumah Standard Hitung Tanah Di Tebet Dalam Jakarta Selatan,7500000000,150,253,5,2,0
Rumah Standard Di Tebet Dalam Jakarta Selatan,5200000000,300,260,7,3,1
Rumah Strategis Siap Huni Di Raya Tebet Jakarta Selatan,4900000000,250,266,3,2,1
Rumah Tua Strategis Di Tebet Raya Jakarta Selatan,17500000000,750,724,4,2,3
Rumah Mewah Hook Siap Huni Dan Terawat Di Gudang Peluru Tebet,10900000000,646,428,5,5,6
Rumah Cantik Dan Luas Di Tebet Jakarta Selatan,9000000000,300,388,4,3,1
Rumah Strategis Di Tebet Jakarta Selatan,6500000000,168,221,5,2,1
Rumah di Tebet Jakarta Selatan,25000000000,600,1000,10,10,10
"5 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",6000000000,300,150,5,4,2
Rumah Murah Tebet,3300000000,120,90,4,4,1
"Rumah 2 Lantai di Tebet, Jakarta Selatan",1100000000,100,50,2,1,0
Rumah di Tebet,5000000000,410,205,3,3,1
Tebet Rumah lama hitung tanah,2500000000,100,150,3,2,0
"Rumah Tebet Barat Dalam, Jakarta Selatan, Lokasi Strategis",3500000000,160,118,4,4,2
"4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",3000000000,160,90,4,3,1
Rumah Baru Hook Modern Minimalis Strategis Siap Huni Di Tebet Timur,3300000000,180,110,4,4,2
"Rumah Di Tebet Timur Dalam, Jakarta Selatan, Siap Huni, Semi Furnished",4400000000,250,130,4,3,2
Rumah Asri Di Tebet Timur Tebet Jakarta Selatan,4250000000,200,150,5,3,4
"Rumah Siap Huni Tebet Raya, Lingkungan Tenang nyaman, & Strategis",11000000000,275,305,5,3,1
Dijual rumah di tebet timur 2 lantai,3000000000,120,90,4,4,1
Dijual rumah di tebet barat,2500000000,140,88,4,3,0
Rumah Siap Huni Jalanan 3 Mobil Di Tebet,8800000000,150,205,5,2,2
TERJUAL Tebet Rumah Siap Huni Jalan Dua Mobil 300 Meter dari Mt Haryono,5500000000,300,248,5,4,3
"3 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",2200000000,160,100,3,2,1
"5 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",6000000000,250,170,5,5,3
"4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",7000000000,300,240,4,3,4
"Rumah Bagus 2 Lantai, Bebas Banjir, Tenang Di Tebet, Jakarta Selatan",10500000000,500,345,6,4,2
Dijual Rumah Luas di Tebet Jakarta Selatan,3500000000,335,140,5,4,0
"Rumah Mewah 2 Lt Design Apik di Tebet Barat, Jakarta Selatan",6000000000,350,210,5,5,1
Rumah Tebet Barat,3800000000,150,130,3,2,1
"Rumah Murah Minimalis Di Tebet Timur, Tebet Jakarta Selatan",5500000000,250,140,5,3,1
"Dijual rumah murah dan cepat aja di Kebon Baru, Tebet",2500000000,200,122,4,2,1
